session_id;item_user_id;creationdate;duration;pausetime;distance;avgspeed;maxspeed;minspeed;avgbpm;maxbpm;minbpm;avgaltitude;maxaltitude;minaltitude;calories;isafitresult;user_birthdate;user_gender;user_lastlogin;user_consent;user_is_tester;mark;accuracy
253634;12951;13/05/2018 08:21;6955;0;1.602.124.123.189.520;8.292.806.388.903.380;0;0;0;0;0;2.506.304.931.640.620;8.453.329.086.303.710;3.440.719.223.022.460;1197;0;02/10/1971;M;13/05/2018 20:39;1;0;3;0.936998444
251956;10893;13/05/2018 06:43;4511;364;1.244.591.015.625;10.803.600.121.289.400;1.222.560.005.262.490;0;156;165;0;0;0;0;788;1;08/17/1968;M;18/05/2018 10:53;1;0;5;0.734094947
246368;10268;13/05/2018 15:29;5883;0;15.496.078.841.284.800;9.482.557.169.577.680;0;0;0;0;0;1.636.551.136.105.900;30.784.755.314.167.600;-19.462.674.079.505.000;1014;0;10/03/1967;M;02/11/2017 15:13;1;0;5;0.611268437
254238;418;13/05/2018 16:15;7267;0;221.834.921.875;10.989.482.850.557.300;2.828.567.886.352.530;0.00130860460922122;0;0;0;0;88;28;1258;0;05/03/1983;M;25/04/2018 13:07;1;0;4;0.46235597
255810;6220;13/05/2018 09:41;3512;0;12.004.650.390.625;12.304.799.817.502.400;13.471.200.317.144.300;0;156;167;0;0;0;0;802;1;08/20/1964;M;22/05/2018 13:55;1;0;5;0.658533119
255280;7692;13/05/2018 09:46;1804;0;46.231.611.328.125;9.225.820.442.419.620;1.812.662.124.633.780;2.142.819.404.602.050;0;0;0;0;43.236.083.494.477.800;4.288.118.924.004.510;241;0;01/06/1981;F;20/01/2018 19:54;1;0;3;0.322352465
257367;10747;14/05/2018 05:45;3687;473;9898.5;11.084.399.744.868.200;17.668.800.428.509.700;0;144;175;0;0;0;0;504;1;05/11/1975;M;14/05/2018 06:36;1;0;5;0.806067672
253041;11639;12/05/2018 05:25;3908;0;11.629.509.802.703.700;10.712.956.829.512.100;0;0;0;0;0;5.881.142.144.108.820;11.359.064.579.944.800;10.182.836.151.123.000;827;0;06/13/1971;M;12/07/2018 14:48;1;0;3;0.200765129
253043;11639;13/05/2018 04:55;5101;0;15.454.363.478.686.000;10.906.823.862.628.800;0;0;0;0;0;16.064.816.358.159.000;11.986.500.030.054.600;8.773.536.758.422.850;1141;0;06/13/1971;M;12/07/2018 14:48;1;0;5;0.204299483
253034;11639;14/05/2018 11:16;4802;0;14.333.484.143.441.100;10.745.635.759.347.800;0;0;0;0;0;3.396.660.797.333.630;11.394.644.101.620.600;10.715.311.942.153.900;991;0;06/13/1971;M;12/07/2018 14:48;1;0;4;0.082840793
256278;11545;14/05/2018 15:30;2027;0;4.211.529.296.875;7.479.775.761.593.480;25.430.267.333.984.300;0.1101243868470192;0;0;0;0;1.606.719.158.811.410;15.256.484.267.491.600;269;0;01/18/1978;F;18/07/2018 20:01;1;0;5;0.788280516
250292;12095;14/05/2018 16:35;4434;0;1.305.733.624.198.320;10.601.355.541.528.900;0;0;0;0;0;5.221.853.157.221.310;12.373.409.923.859.700;11.329.039.292.415.400;784;0;10/01/1974;M;11/04/2018 05:51;1;0;5;0.374370378
254293;11808;14/05/2018 16:38;3284;0;6.323.867.280.896.400;6.932.375.825.586.800;0;0;0;0;0;21.560.244.181.412.700;6.572.623.414.181.360;6.141.418.530.553.100;242;0;02/07/1973;M;01/05/2018 10:25;1;0;5;0.79891986
255722;7381;14/05/2018 16:42;6335;0;161.576.337.890.625;9.181.922.910.911.600;18.099.275.588.989.200;0.07748620212078094;0;0;0;0;32.8;-32.9;989;0;08/19/1976;F;20/07/2018 11:13;1;0;2;0.899614051
255703;9697;14/05/2018 18:03;2688;0;50.139.892.578.125;67.151.641.845.703.100;17.173.067.092.895.500;0.46020787954330444;0;0;0;0;6.679.648.365.546.010;4.166.604.585.107.410;307;0;06/08/1985;F;28/04/2018 07:38;1;0;2;0.130738583
255797;12752;14/05/2018 14:11;2401;0;70.693.957.732.368.700;1.059.967.712.771.870;0;0;0;0;0;25.382.877.470.311.900;7.913.015.274.209.560;7.405.357.724.803.320;534;0;07/15/1989;M;10/04/2018 21:42;1;0;4;0.973312149
256035;12986;15/05/2018 14:38;183;8;13.537.704.467.773.400;2.663.154.977.266.900;12.733.355.522.155.700;0.011818978935480118;0;0;0;0;13.413.478.607.777.500;1.130.701.497.932.890;8;0;05/28/1994;M;07/05/2018 22:23;1;1;3;0.165735369
257509;7108;15/05/2018 16:24;2102;0;625.870.751.953.125;10.719.004.315.086.800;34.859.806.060.791.000;0.019275132566690445;0;0;0;0;11.850.371.622.946.100;6.249.155.373.312.530;422;0;06/22/1958;M;25/12/2017 18:01;1;0;5;0.698480715
248050;7691;15/05/2018 15:05;3557;0;9.438.056.640.625;9.552.151.786.969.350;1.945.682.144.165.030;0.7803477644920349;0;0;0;0;130;106;595;0;09/03/1971;F;15/05/2018 15:02;1;0;4;0.956977187
257534;9560;15/05/2018 16:56;1734;0;5.067.270.206.897.920;1.052.028.416.657.000;0;0;0;0;0;9.204.833.984.375;1.608.455.276.489.250;-2.325.115.203.857.420;265;0;11/20/1979;F;15/01/2018 16:43;1;0;4;0.780744055
255740;2004;15/05/2018 17:53;3934;0;10.002.919.921.875;915.480.013.936.758;0;0;158;178;0;0;0;0;613;1;08/24/1980;F;29/05/2018 16:44;1;0;4;0.990423722
253635;12951;15/05/2018 17:10;3604;0;9.066.092.295.920.710;9.056.030.040.320.350;0;0;0;0;0;2.067.620.849.609.370;7.766.164.779.663.080;3.630.923.080.444.330;677;0;02/10/1971;M;13/05/2018 20:39;1;0;3;0.084579833
257372;9444;15/05/2018 15:20;4807;0;13.159.715.687.866.700;985.541.428.673.191;0;0;0;0;0;1.339.117.431.640.620;20.913.785.552.978.500;18.235.550.689.697.200;839;0;12/16/1975;M;11/07/2018 04:18;1;0;5;0.559169363
255310;9902;15/05/2018 16:50;3336;610;772.146.533.203.125;8.332.516.545.357.460;5.181.761.932.373.040;0.00895046629011631;0;0;0;0;35.747.412.872.762.300;6.472.449.896.816.260;473;0;02/20/1981;M;10/07/2018 19:49;1;0;3;0.121025737
256982;13052;15/05/2018 17:44;2310;0;6.183.216.564.133.960;9.636.181.658.390.590;0;0;0;0;0;4.028.812.213.923.120;45.898.972.999.623.500;3.784.134.857.177.730;297;0;01/28/1988;F;12/05/2018 08:08;1;0;5;0.338580599
257547;7692;16/05/2018 09:35;2221;16;530.799.658.203.125;860.368.649.046.038;20.928.436.279.296.800;0.9315328001976013;0;0;0;0;43.595.824.485.742.300;4.262.145.080.553.040;277;0;01/06/1981;F;20/01/2018 19:54;1;0;4;0.214444679
255372;12931;16/05/2018 11:12;2376;293;609.381.787.109.375;9.233.057.380.445.070;32.971.832.275.390.600;0.0706205815076828;0;0;0;0;189.5;133.1;329;0;06/10/1985;F;27/04/2018 15:28;1;0;2;0.54037962
256280;11545;16/05/2018 15:35;2507;0;50.432.861.328.125;724.205.427.926.805;2.054.044.532.775.870;0.5579406023025513;0;0;0;0;16.315.490.638.154.300;14.613.151.519.445.700;322;0;01/18/1978;F;18/07/2018 20:01;1;0;5;0.840270893
256985;13052;16/05/2018 17:40;3361;0;8.343.306.336.025.000;8.936.597.087.084.200;0;0;0;0;0;393.125.021.333.403;45.877.004.439.729.500;38.014.504.013.061.500;415;0;01/28/1988;F;12/05/2018 08:08;1;0;4;0.02224075
254239;418;16/05/2018 17:10;4503;0;131.976.669.921.875;10.551.099.527.398.400;30.080.297.470.092.700;0.00010366243805037811;0;0;0;0;75;35;748;0;05/03/1983;M;25/04/2018 13:07;1;0;3;0.41644131
253636;12951;17/05/2018 05:59;3604;0;9.417.400.513.054.820;9.406.948.348.223.460;0;0;0;0;0;48.843.239.215.348.500;1.026.686.814.979.530;0.498220306725635;703;0;02/10/1971;M;13/05/2018 20:39;1;0;4;0.70605965
255704;9697;16/05/2018 18:02;2486;0;43.866.015.625;6.352.279.012.469.830;24.956.167.221.069.300;0.10404915362596512;0;0;0;0;6.816.703.208.815.300;11.273.851.276.375.300;268;0;06/08/1985;F;28/04/2018 07:38;1;0;3;0.99070802
248051;7691;17/05/2018 15:22;3791;0;91.882.060.546.875;8.725.281.402.499.340;1.762.204.360.961.910;0.072008416056633;0;0;0;0;136;101;579;0;09/03/1971;F;15/05/2018 15:02;1;0;3;0.639424527
248025;11387;17/05/2018 04:02;2592;0;817.602.001.953.125;11.354.400.124.400.800;12.160.800.397.396.000;0;156;169;0;0;0;0;708;1;10/04/1979;M;20/07/2018 17:02;1;0;5;0.021717302
254295;11808;17/05/2018 17:09;3868;0;7.442.971.678.380.570;6.927.274.571.398.670;0;0;0;0;0;4.473.325.610.351.130;682.237.595.963.633;59.277.108.375.661.000;284;0;02/07/1973;M;01/05/2018 10:25;1;0;5;0.914561886
257591;13066;17/05/2018 15:50;2711;213;75.258.740.234.375;9.993.783.284.535.220;24.263.795.852.661.100;15.709.713.697.433.400;0;0;0;0;191;170;433;0;11/22/1964;M;28/06/2018 20:51;1;0;5;0.070415663
257506;12752;16/05/2018 14:03;2092;0;6.056.084.468.257.940;10.421.560.270.424.700;0;0;0;0;0;317.388.332.283.507;787.672.858.203.227;7.241.951.917.465.250;458;0;07/15/1989;M;10/04/2018 21:42;1;0;5;0.864650726
257507;12752;18/05/2018 05:17;1549;0;4.359.306.425.924.150;10.131.377.103.503.500;0;0;0;0;0;9.576.375.458.595.450;5.281.744.679.205.600;-13.871.006.237.985.300;330;0;07/15/1989;M;10/04/2018 21:42;1;0;3;0.148243609
257501;12919;18/05/2018 07:00;2963;0;8.693.579.902.900.420;10.562.567.549.929.600;0;0;0;0;0;4.141.845.703.125;10.281.495.666.503.900;10.198.658.752.441.400;638;0;03/23/1970;M;27/04/2018 22:25;1;0;5;0.691372764
255705;9697;18/05/2018 09:09;2405;0;4.396.751.953.125;6.581.416.645.010.390;20.482.906.341.552.700;0.09495973587036133;0;0;0;0;6.529.554.212.186.480;3.426.223.674.509.670;269;0;06/08/1985;F;28/04/2018 07:38;1;0;2;0.2388186
257548;7692;18/05/2018 17:32;2402;0;56.553.369.140.625;8.475.942.086.022.060;1.777.299.690.246.580;12.619.071.006.774.900;0;0;0;0;4.324.280.582.418.420;42.798.168.261.558.300;295;0;01/06/1981;F;20/01/2018 19:54;1;0;4;0.777854061
257514;6220;18/05/2018 17:18;2551;0;8.201.919.921.875;11.573.999.281.972.600;12.463.199.347.257.600;0;139;160;0;0;0;0;512;1;08/20/1964;M;22/05/2018 13:55;1;0;3;0.765155265
248052;7691;18/05/2018 15:12;3720;437;95.806.455.078.125;9.271.592.426.915.320;15.760.740.280.151.300;0.5435891151428223;0;0;0;0;125;104;604;0;09/03/1971;F;15/05/2018 15:02;1;0;3;0.68908484
256987;13052;18/05/2018 17:50;3982;0;10.598.687.104.973.800;9.581.937.111.478.150;0;0;0;0;0;44.897.182.302.597.100;4.693.129.803.278.500;37.951.861.572.265.600;556;0;01/28/1988;F;12/05/2018 08:08;1;0;5;0.471751941
256284;11545;19/05/2018 05:11;2234;0;512.933.984.375;8.265.722.219.113.690;3.534.980.392.456.050;19.887.049.198.150.600;0;0;0;0;18.530.663.540.495.000;12.159.983.773.422.900;328;0;01/18/1978;F;18/07/2018 20:01;1;0;5;0.645079259
257369;10747;18/05/2018 05:22;3055;250;90.017.099.609.375;11.548.799.928.277.700;13.773.600.105.196.200;0;149;179;0;0;0;0;521;1;05/11/1975;M;14/05/2018 06:36;1;0;5;0.106498452
254066;10570;19/05/2018 15:39;2355;0;670.852.294.921.875;10.255.066.928.742.000;2.225.465.965.270.990;13.567.917.346.954.300;0;0;0;0;5.801.528.214.665.170;4.741.952.172.632.770;423;0;02/24/1980;M;16/09/2017 20:58;1;0;4;0.935783124
257546;11611;19/05/2018 05:33;3071;0;80.784.838.439.598.200;9.470.055.955.146.640;0;0;0;0;0;1.354.583.740.234.370;3.098.873.519.897.460;38.970.603.942.871.000;487;0;11/08/1982;F;01/06/2018 07:38;1;0;5;0.748828974
255742;2004;20/05/2018 08:25;3213;223;53.607.353.515.625;6.006.426.164.215.680;21.097.993.850.708.000;0.0347413569688797;0;0;0;0;9.411.585.253.011.430;5.708.468.696.847.550;299;0;08/24/1980;F;29/05/2018 16:44;1;0;5;0.655135472
254241;418;20/05/2018 15:34;7068;0;21.119.306.640.625;10.756.862.465.513.500;3.068.300.437.927.240;0.005661630071699619;0;0;0;0;98;35;1197;0;05/03/1983;M;25/04/2018 13:07;1;0;5;0.438901394
254240;418;18/05/2018 16:44;5047;0;1.502.468.359.375;1.071.703.208.589.260;20.402.965.545.654.200;0.0008854295592755079;0;0;0;0;85;42;852;0;05/03/1983;M;25/04/2018 13:07;1;0;5;0.373113941
225897;10870;19/05/2018 15:43;5270;0;82.185.205.078.125;5.614.169.606.854.830;30.423.324.584.960.900;0.0008451833855360746;0;0;0;0;517.1;475.6;555;0;02/18/1958;M;08/07/2018 09:15;1;0;4;0.289724608
255706;9697;20/05/2018 17:17;2114;0;423.372.509.765.625;7.209.749.456.746.680;2.477.753.257.751.460;0.3723469078540802;0;0;0;0;7.479.363.462.794.570;4.005.017.927.195.870;259;0;06/08/1985;F;28/04/2018 07:38;1;0;2;0.407077647
257536;9560;20/05/2018 17:33;2816;0;7.405.395.271.977.630;9.467.124.637.471.400;0;0;0;0;0;1.325.848.388.671.870;2.537.648.391.723.630;-1.140.483.856.201.170;387;0;11/20/1979;F;15/01/2018 16:43;1;0;5;0.848876833
257545;11611;18/05/2018 05:52;2087;0;5500;9.482.400.119.304.650;1.222.560.005.262.490;0;0;0;0;0;0;0;406;1;11/08/1982;F;01/06/2018 07:38;1;0;4;0.77579983
257543;11611;17/05/2018 17:41;2015;36;520.531.982.421.875;9.468.000.009.655.950;2.230.560.053.139.920;0;0;0;0;0;0;0;388;1;11/08/1982;F;01/06/2018 07:38;1;0;4;0.863906637
257523;11852;20/05/2018 16:25;5556;0;140.243.349.609.375;9.087.042.091.320.190;22.379.209.518.432.600;0.16339023411273956;0;0;0;0;52.015.621.814.502.800;21.840.236.540.048.000;770;0;05/29/1973;F;18/07/2018 16:58;1;0;4;0.610140918
257515;6220;20/05/2018 08:51;6310;0;2.067.044.921.875;11.790.000.088.512.800;13.233.600.184.321.400;0;160;169;0;0;0;0;1460;1;08/20/1964;M;22/05/2018 13:55;1;0;3;0.866568987
257501;12919;20/05/2018 06:05;2993;0;8.731.507.983.656.500;105.023.149.820.125;0;0;0;0;0;507.550.048.828.125;10.266.380.920.410.100;10.164.870.910.644.500;625;0;03/23/1970;M;27/04/2018 22:25;1;0;3;0.475154727
256286;11545;21/05/2018 16:25;2510;0;500.360.888.671.875;7.176.490.833.540.830;25.539.316.177.368.100;0.010146111249923706;0;0;0;0;17.525.041.257.475.000;15.363.675.133.988.100;320;0;01/18/1978;F;18/07/2018 20:01;1;0;5;0.442564639
258138;11808;21/05/2018 17:18;3622;0;7.329.916.549.074.850;7.285.394.692.619.950;0;0;0;0;0;4.680.862.096.132.470;6.839.374.621.572.410;5.903.202.202.345.920;399;0;02/07/1973;M;01/05/2018 10:25;1;0;5;0.531760081
255743;2004;21/05/2018 17:27;3009;9;7.483.330.078.125;8.978.399.634.361.260;0;0;158;172;0;0;0;0;473;1;08/24/1980;F;29/05/2018 16:44;1;0;5;0.310694657
257549;7692;22/05/2018 14:49;2707;0;655.695.947.265.625;8.720.005.209.295.340;2.441.646.385.192.870;0.2583514153957367;0;0;0;0;4.336.362.406.887.020;4.269.957.765.149.580;342;0;01/06/1981;F;20/01/2018 19:54;1;0;4;0.232069806
250292;12095;22/05/2018 16:26;4662;0;13.665.772.794.653.400;10.552.720.304.751.700;0;0;0;0;0;12.565.710.673.161.700;13.831.900.452.270.100;11.318.758.317.637.700;828;0;10/01/1974;M;11/04/2018 05:51;1;0;5;0.498147169
257508;12752;22/05/2018 15:00;3618;0;10.014.115.118.397.100;9.964.293.650.146.410;0;0;0;0;0;29.813.441.198.051.600;7.913.006.260.657.380;7.316.737.436.696.340;757;0;07/15/1989;M;10/04/2018 21:42;1;0;5;0.870665308
277503;11611;22/05/2018 05:17;1951;0;4.625.666.469.774.430;853.531.485.965.554;0;0;0;0;0;4.613.494.873.046.870;2.384.945.297.241.210;1.462.246.322.631.830;263;0;11/08/1982;F;01/06/2018 07:38;1;0;5;0.338935864
254242;418;22/05/2018 15:30;3540;0;100.159.990.234.375;1.018.576.171.875;29.306.489.944.458.000;0.00010346842464059591;0;0;0;0;68;23;568;0;05/03/1983;M;25/04/2018 13:07;1;0;5;0.11174614
264470;13162;23/05/2018 11:00;2322;0;5.397.939.814.912.700;8.368.898.937.849.150;0;0;0;0;0;19.672.747.388.616.000;2.532.752.346.158.930;2.139.297.398.386.610;281;0;09/30/1978;F;18/05/2018 20:21;1;0;4;0.250063186
267854;9560;23/05/2018 16:55;2410;0;6.049.728.688.185.210;9.036.939.119.280.820;0;0;0;0;0;7.539.703.369.140.620;1.892.732.620.239.250;3.847.919.464.111.320;290;0;11/20/1979;F;15/01/2018 16:43;1;0;3;0.894808411
282478;13620;23/05/2018 17:09;2531;0;78.598.028.071.721.300;11.179.490.361.841.000;0;0;0;0;0;24.471.514.300.192.400;12.287.902.942.435.900;7.393.600.082.397.460;503;0;01/09/1979;M;04/06/2018 17:24;1;0;4;0.508256562
277515;6220;23/05/2018 17:31;2633;42;77.802.998.046.875;10.807.200.148.701.600;12.092.399.876.564.700;0;127;138;0;0;0;0;430;1;08/20/1964;M;22/05/2018 13:55;1;0;4;0.702782243
248030;11387;23/05/2018 18:01;3304;0;100.074.296.875;1.090.080.002.322.790;11.790.000.088.512.800;0;155;168;0;0;0;0;896;1;10/04/1979;M;20/07/2018 17:02;1;0;4;0.547730855
254067;10570;23/05/2018 17:29;3659;0;101.813.935.546.875;10.017.222.409.640.600;4.378.022.003.173.820;0.00833113119006157;0;0;0;0;63.229.071.027.798.400;45.628.588.348.611.100;641;0;02/24/1980;M;16/09/2017 20:58;1;0;4;0.029035688
258141;11808;23/05/2018 17:05;3703;0;7.668.984.264.282.220;7.455.669.282.045.900;0;0;0;0;0;3.476.302.594.119.110;6.714.907.455.444.330;6.019.646.936.620.510;420;0;02/07/1973;M;01/05/2018 10:25;1;0;4;0.158432878
267844;11852;24/05/2018 07:25;1955;0;502.891.552.734.375;926.040.710.917.519;23.270.416.259.765.600;0.2807801365852356;0;0;0;0;5.451.560.549.049.850;4.144.221.479.962.270;276;0;05/29/1973;F;18/07/2018 16:58;1;0;4;0.50397234
248038;7691;23/05/2018 15:03;4322;0;2.375.446.533.203.120;19.786.227.486.189.800;2.579.986.572.265.620;0.3484162986278534;0;0;0;0;135;98;150;0;09/03/1971;F;15/05/2018 15:02;1;0;5;0.925094124
250293;12095;24/05/2018 16:14;3425;0;12.058.943.758.371.300;12.675.094.169.383.000;0;0;0;0;0;5.019.136.319.347.210;12.367.519.878.947.900;11.363.692.615.078.500;803;0;10/01/1974;M;11/04/2018 05:51;1;0;4;0.290707362
150811;9591;23/05/2018 05:48;3321;0;9.489.388.671.875;10.286.600.186.314.300;3.756.782.150.268.550;0.8135099411010742;157.902.416.918.429;170;93;0;101;48;692;0;09/06/1978;M;13/06/2018 23:20;1;0;5;0.880220414
254243;418;24/05/2018 17:55;3304;0;91.492.939.453.125;9.968.964.347.192.790;19.082.317.352.294.900;0.003157519968226552;0;0;0;0;66;44;519;0;05/03/1983;M;25/04/2018 13:07;1;0;4;0.50908532
256287;11545;24/05/2018 16:41;1973;0;41.640.146.484.375;7.597.796.621.578.810;23.579.904.556.274.400;0.7784382104873657;0;0;0;0;16.381.469.982.326.600;1.480.563.565.882.520;266;0;01/18/1978;F;18/07/2018 20:01;1;0;4;0.942806575
264724;13052;24/05/2018 17:25;3492;0;839.310.851.668.606;8.652.689.192.459.850;0;0;0;0;0;57.299.855.631.153.400;43.385.980.980.817.500;319.260.098.545.869;427;0;01/28/1988;F;12/05/2018 08:08;1;0;5;0.575281481
255708;9697;24/05/2018 18:38;2567;0;500.096.484.375;7.013.429.465.329.170;21.253.049.850.463.800;0.33034658432006836;0;0;0;0;7.066.992.686.782.030;4.388.156.049.139.790;306;0;06/08/1985;F;28/04/2018 07:38;1;0;3;0.047830616
255857;12508;24/05/2018 10:23;4739;0;1.122.010.697.856.190;8.523.398.422.203.630;0;0;0;0;0;14.526.128.775.670.500;8.123.504.953.194.980;5.218.279.198.060.860;697;0;01/09/1976;M;08/05/2018 07:10;1;0;2;0.339445507
255755;8576;23/05/2018 13:04;7024;1213;20.531.970.703.125;12.718.799.617.141.400;13.975.199.963.897.400;0;141;155;0;0;0;0;836;1;09/02/1962;M;28/06/2018 13:03;1;0;4;0.601055222
255726;7381;23/05/2018 16:22;3112;0;60.769.716.796.875;7.029.915.824.831.290;2.276.433.563.232.420;0.0602814182639122;0;0;0;0;76.7;4;372;0;08/19/1976;F;20/07/2018 11:13;1;0;2;0.913812842
248038;7691;24/05/2018 14:57;3680;11;2.007.949.951.171.870;19.642.988.652.768.300;8.176.834.106.445.310;0.21181465685367584;0;0;0;0;144;112;127;0;09/03/1971;F;15/05/2018 15:02;1;0;1;0.16964308
283685;10762;23/05/2018 05:04;1889;0;70.184.501.953.125;13.373.999.577.015.600;15.318.000.130.355.300;0;148;170;0;0;0;0;400;1;12/27/1979;M;20/07/2018 13:26;1;0;4;0.116570918
283686;10762;25/05/2018 05:05;1983;0;7.770.669.921.875;14.101.200.923.323.600;7.473.959.997.296.330;0;154;171;0;0;0;0;441;1;12/27/1979;M;20/07/2018 13:26;1;0;4;0.086558396
283888;7692;25/05/2018 10:11;2042;11;461.328.271.484.375;8.133.113.503.152.540;18.169.740.676.879.800;10.340.840.816.497.800;0;0;0;0;4.373.341.926.540.500;43.124.443.436.163.100;241;0;01/06/1981;F;20/01/2018 19:54;1;0;3;0.989467172
264471;13162;25/05/2018 11:11;1765;0;382.789.261.744.044;78.075.996.729.663.300;0;0;0;0;0;14.280.377.985.532.600;22.511.893.037.542.200;1.965.581.744.043.570;183;0;09/30/1978;F;18/05/2018 20:21;1;0;5;0.947165792
267845;11852;25/05/2018 15:33;1981;0;5.047.509.765.625;9.172.657.827.486.110;3.803.382.110.595.700;0.43353837728500366;0;0;0;0;701.865.869.589.373;3.778.560.844.307.280;277;0;05/29/1973;F;18/07/2018 16:58;1;0;4;0.010543012
267855;9560;25/05/2018 16:06;2336;0;6.381.721.121.807.390;9.834.844.194.566.190;0;0;0;0;0;9.141.143.798.828.120;1.476.057.815.551.750;-3.521.709.442.138.670;333;0;11/20/1979;F;15/01/2018 16:43;1;0;5;0.215780108
253636;12951;25/05/2018 17:36;2310;0;5.355.516.792.166.540;8.346.259.935.843.970;0;0;0;0;0;10.788.482.666.015.600;6.022.353.744.506.830;3.864.657.211.303.710;400;0;02/10/1971;M;13/05/2018 20:39;1;0;2;0.971052963
267851;12919;26/05/2018 07:44;2386;0;6.273.438.392.137.120;946.537.225.972.072;0;0;0;0;0;151.220.703.125;9.572.362.327.575.680;9.269.920.921.325.680;452;0;03/23/1970;M;27/04/2018 22:25;1;0;4;0.797591606
283883;12752;26/05/2018 16:45;2136;0;6.051.257.702.168.890;10.198.748.936.239.700;0;0;0;0;0;11.329.740.640.399.500;7.436.546.200.030.950;7.413.886.718.750.150;436;0;07/15/1989;M;10/04/2018 21:42;1;0;4;0.646404896
253047;11639;27/05/2018 04:10;5104;0;15.248.778.776.934.400;10.755.408.228.245.300;0;0;0;0;0;2.698.637.886.805.220;15.423.074.621.597.100;1.002.579.884.798.670;1125;0;06/13/1971;M;12/07/2018 14:48;1;0;3;0.425668541
255709;9697;26/05/2018 18:36;3061;0;600.924.365.234.375;7.067.388.810.335.670;19.808.582.305.908.200;0.4273810386657715;0;0;0;0;6.874.652.118.887.750;46.191.299.218.684.400;368;0;06/08/1985;F;28/04/2018 07:38;1;0;2;0.275646123
253636;12951;27/05/2018 07:33;4083;0;10.083.946.386.741.400;8.891.062.207.266.540;0;0;0;0;0;20.968.445.367.723.300;787.506.437.279.828;3.681.375.299.253.600;753;0;02/10/1971;M;13/05/2018 20:39;1;0;3;0.732008401
